fips,popff,nfastfood,percapfstfd,nfarmkt,popfm,percapfarmkt
1,4627851,970,20.96005252,140,4779736,2.929032064
4,6338755,1081,17.05382208,81,6392017,1.267205641
5,2834797,580,20.46001883,92,2915918,3.155095582
6,36553215,6078,16.62781236,759,37253956,2.037367521
8,4861515,851,17.50483131,157,5029196,3.121771353
9,3502309,368,10.50735386,156,3574097,4.364738842
10,864764,119,13.76097987,29,897934,3.229636031
11,588292,75,12.74877102,35,601723,5.816629911
12,18251243,2996,16.41532032,224,18801310,1.191406343
13,9544750,1684,17.643207,138,9687653,1.424493631
16,1499402,240,16.00638121,69,1567582,4.401683612
17,12852548,2009,15.63114178,336,12830632,2.618733044
18,6345289,1363,21.48050309,171,6483802,2.637341486
19,2988046,559,18.70787799,229,3046355,7.517180368
20,2775997,631,22.73057212,92,2853118,3.224542413
21,4241474,889,20.95969467,131,4339367,3.01887349
22,4293204,826,19.23971002,66,4533372,1.455869935
23,1317207,183,13.89303276,93,1328361,7.001108885
24,5618344,890,15.84096666,147,5773552,2.546092942
27,5197621,734,14.12184536,186,5303925,3.506836918
28,2918785,581,19.90554289,82,2967297,2.763457787
29,5878415,1215,20.66883675,246,5988927,4.10758054
30,957861,142,14.82469795,66,989415,6.67060839
31,1774571,344,19.38496685,93,1826341,5.092148728
32,2565382,523,20.38682738,46,2700551,1.703356093
33,1315828,184,13.98359056,96,1316470,7.292228459
34,8685920,901,10.37310958,139,8791894,1.581001773
35,1969915,338,17.15810073,69,2059179,3.350850023
38,639715,109,17.03883761,63,672591,9.366762267
39,11466917,2336,20.37164828,300,11536504,2.600441174
40,3617316,640,17.69267601,69,3751351,1.839337348
41,3747455,612,16.33108336,173,3831074,4.515704996
42,12432792,1652,13.28744179,290,12702379,2.283036902
44,1057832,125,11.81662116,57,1052567,5.415332231
45,4407709,980,22.23377269,127,4625364,2.74572985
46,796214,141,17.70880693,38,814180,4.667272593
47,6156719,1354,21.9922332,99,6346105,1.560012007
48,23904380,3844,16.080735,183,25145561,0.727762646
49,2645330,427,16.1416534,40,2763885,1.447238217
50,621254,63,10.14077978,100,625741,15.98105286
54,1812035,389,21.46757651,90,1852944,4.857135456
55,5601640,897,16.01316757,286,5686986,5.02902592
56,522830,118,22.56947765,41,563626,7.274327302
